location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20200122T0000,0.30052868,78.0,2.2768397,198.43495
20200122T0100,0.38052866,75.0,2.7416782,156.8014
20200122T0200,0.08052866,77.0,4.198285,120.96376
20200122T0300,-0.62947136,84.0,5.0142193,111.03751
20200122T0400,-0.81947136,85.0,7.172949,107.52557
20200122T0500,-1.6294713,90.0,7.4128532,119.054596
20200122T0600,-1.7694713,91.0,6.439876,116.56505
20200122T0700,-1.7894714,91.0,5.04,89.99999
20200122T0800,-2.0194714,90.0,5.00128,30.256424
20200122T0900,-1.9594713,86.0,6.3690495,317.29062
20200122T1000,-1.1094713,81.0,5.692099,304.69516
20200122T1100,0.030528657,77.0,2.8116899,309.80557
20200122T1200,1.1805286,74.0,4.896529,342.89728
20200122T1300,2.8805285,70.0,2.52,89.99999
20200122T1400,4.0705285,68.0,4.0249224,63.43495
20200122T1500,5.2805285,65.0,4.6938257,32.47119
20200122T1600,5.6505284,66.0,7.8625183,344.0546
20200122T1700,4.1005287,72.0,8.217153,331.1892
20200122T1800,2.9605286,73.0,5.1165614,320.7106
20200122T1900,2.1105285,75.0,4.2136917,289.98312
20200122T2000,1.0905286,79.0,3.6179552,275.7106
20200122T2100,0.0005286578,85.0,2.968636,255.96376
20200122T2200,-0.09947134,87.0,4.072935,225.0
20200122T2300,0.32052866,84.0,2.5959969,213.69006
20200123T0000,0.23052865,84.0,1.484318,165.96376
20200123T0100,-0.10947134,85.0,1.08,89.99999
20200123T0200,-0.83947134,90.0,1.9386592,21.801407
20200123T0300,-1.3694713,93.0,1.0182338,315.0
20200123T0400,-1.3994713,93.0,0.71999997,270.0
20200123T0500,-1.2694713,91.0,0.35999998,360.0
20200123T0600,-1.2894714,91.0,1.08,89.99999
20200123T0700,-1.1794714,88.0,1.8,89.99999
20200123T0800,-1.3294713,87.0,1.4399999,89.99999
20200123T0900,-0.9994713,83.0,1.0182338,44.999985
20200123T1000,-0.11947135,78.0,1.484318,14.03624
20200123T1100,1.0805286,73.0,3.8773184,21.801407
20200123T1200,2.7405286,68.0,4.379589,9.462311
20200123T1300,3.1005285,60.0,5.0528407,4.085617
20200123T1400,3.5905285,60.0,4.32,360.0
20200123T1500,4.3405285,60.0,3.96,360.0
20200123T1600,4.3905287,62.0,5.4119864,356.18594
20200123T1700,3.3405285,64.0,6.489992,356.8202
20200123T1800,2.4005284,64.0,3.8773184,338.1986
20200123T1900,1.5205287,65.0,2.1897945,260.5377
20200123T2000,1.4805287,66.0,2.5959969,213.69006
20200123T2100,1.4605286,67.0,1.484318,194.03624
20200123T2200,1.4405286,68.0,3.8939953,123.69006
20200123T2300,1.6905286,69.0,6.9247384,117.89726
20200124T0000,2.1205285,68.0,8.557102,112.249016
20200124T0100,2.3905284,67.0,8.557102,112.249016
20200124T0200,2.9105287,63.0,8.049845,116.56505
20200124T0300,3.1805286,62.0,6.6087217,119.35774
20200124T0400,2.9805286,64.0,6.9247384,117.89726
20200124T0500,3.6205285,67.0,7.289445,122.90524
20200124T0600,3.9305286,70.0,6.489992,123.69006
20200124T0700,4.2205286,74.0,7.2,126.869896
20200124T0800,4.6605287,77.0,7.8954163,114.22774
20200124T0900,5.1505284,77.0,6.9153743,128.6598
20200124T1000,5.7705283,76.0,6.489992,109.44003
20200124T1100,6.0105286,78.0,6.792466,122.00538
20200124T1200,7.290529,76.0,2.6208394,164.0546
20200124T1300,8.090529,71.0,1.835647,101.30993
20200124T1400,9.400529,63.0,2.3051248,218.65982
20200124T1500,10.490529,64.0,2.9024127,262.875
20200124T1600,10.810529,67.0,2.8799999,270.0
20200124T1700,10.580529,66.0,1.8,270.0
20200124T1800,10.020529,69.0,1.0182338,135.0
20200124T1900,10.010529,68.0,2.9024127,119.74488
20200124T2000,9.620529,70.0,3.6,143.1301
20200124T2100,9.220529,72.0,4.1046314,142.12502
20200124T2200,9.060529,73.0,4.198285,149.03624
20200124T2300,8.900529,74.0,3.7064266,150.94539
20200125T0000,8.390529,78.0,4.6102495,141.34018
20200125T0100,8.230529,80.0,3.8939953,146.30994
20200125T0200,8.210529,81.0,3.8268526,138.81407
20200125T0300,7.9805284,83.0,4.5820518,135.0
20200125T0400,7.790529,84.0,5.315336,118.30075
20200125T0500,7.5705285,85.0,6.439876,116.56505
20200125T0600,7.5505285,84.0,6.792466,122.00538
